service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20251214","20251220"
"T0#1","1","1","1","1","1","0","0","20251214","20261212"
"T0#10","1","1","1","1","1","0","0","20251214","20260201"
"T0#11","1","1","1","1","1","0","0","20260202","20261212"
"T0#12","1","1","1","1","1","0","0","20260303","20260626"
"T0#13","1","1","1","1","1","0","0","20251214","20260531"
"T0#14","1","1","1","1","1","0","0","20260601","20261212"
"T0#15","1","1","1","1","1","0","0","20251214","20251221"
"T0#16","1","1","1","1","1","0","0","20251222","20261212"
"T0#17","1","1","1","1","1","0","0","20260101","20261212"
"T0#18","1","1","1","1","1","0","0","20251214","20260106"
"T0#19","1","1","1","1","1","0","0","20251214","20260201"
"T0#2","1","1","1","1","1","0","0","20251214","20260101"
"T0#20","1","1","1","1","1","0","0","20260327","20260406"
"T0#21","1","1","1","1","0","0","0","20260427","20260503"
"T0#22","1","1","1","1","1","0","0","20251214","20261212"
"T0#23","0","0","0","0","1","0","0","20260327","20260327"
"T0#24","1","1","1","1","1","0","0","20260328","20260406"
"T0#25","0","0","1","1","1","0","0","20260422","20260426"
"T0#26","1","1","1","1","1","0","0","20251214","20261212"
"T0#27","1","1","1","1","1","0","0","20260305","20260430"
"T0#28","1","1","1","1","1","0","0","20251214","20260311"
"T0#29","1","1","1","1","1","0","0","20260312","20261212"
"T0#3","1","1","1","1","1","0","0","20260102","20261212"
"T0#30","1","1","1","1","1","0","0","20251214","20261212"
"T0#31","1","1","1","1","1","0","0","20260310","20260713"
"T0#32","1","1","1","1","1","0","0","20260202","20260225"
"T0#33","1","1","1","1","1","0","0","20260226","20261212"
"T0#34","1","1","1","1","1","0","0","20260202","20261212"
"T0#35","1","1","1","1","1","0","0","20260327","20260407"
"T0#36","1","1","1","1","1","0","0","20251221","20260118"
"T0#37","1","1","0","0","1","0","0","20251225","20260106"
"T0#38","1","1","0","0","0","0","0","20251229","20251230"
"T0#4","1","1","1","1","1","0","0","20251214","20261212"
"T0#5","1","1","1","1","1","0","0","20251214","20260106"
"T0#6","1","1","1","1","1","0","0","20260107","20261212"
"T0#7","1","1","1","1","1","0","0","20260102","20261212"
"T0#8","0","0","0","1","0","0","0","20260212","20260212"
"T0#9","1","1","1","1","1","0","0","20260601","20260702"
"T0+bb01","0","0","0","0","1","0","0","20260327","20260406"
"T0+bb01#1","0","0","0","1","0","0","0","20260427","20260503"
"T0+bb01#2","0","0","0","0","1","0","0","20251214","20261212"
"T0+bb01#3","0","0","0","0","1","0","0","20260328","20260406"
"T0+bb01#4","0","0","0","0","1","0","0","20260422","20260426"
"T0+bb02","1","1","1","1","0","0","0","20251214","20261212"
"T0+bb02#1","1","1","1","1","0","0","0","20260328","20260406"
"T0+bb02#2","0","0","1","1","0","0","0","20260422","20260426"
"T0+bb02#3","1","1","1","0","0","0","0","20260427","20260503"
"T2","0","0","0","0","0","1","0","20251214","20261212"
"T2#1","0","0","0","0","0","1","0","20251215","20261212"
"T2#10","0","0","0","0","0","1","0","20260102","20261212"
"T2#11","0","0","1","0","0","1","0","20251214","20260106"
"T2#12","0","0","0","0","0","1","0","20260107","20260201"
"T2#13","0","0","0","0","0","1","0","20260517","20260914"
"T2#14","0","0","0","0","0","1","0","20251214","20251221"
"T2#15","0","0","0","0","0","1","0","20251222","20261212"
"T2#16","0","0","0","0","0","1","0","20251214","20261212"
"T2#17","0","0","0","0","0","1","0","20260217","20260511"
"T2#18","0","0","0","0","0","1","0","20260107","20261212"
"T2#19","0","0","0","0","0","1","0","20260102","20261212"
"T2#2","0","0","1","0","0","1","0","20251214","20260201"
"T2#20","0","0","0","0","0","1","0","20251214","20261212"
"T2#21","0","0","0","0","0","1","0","20260126","20260531"
"T2#22","0","0","0","0","0","1","0","20251214","20261212"
"T2#23","0","0","0","0","0","1","0","20260228","20260531"
"T2#24","0","0","0","0","0","1","0","20260601","20260702"
"T2#25","0","0","0","0","0","1","0","20260202","20260315"
"T2#26","0","0","0","0","0","1","0","20260316","20261212"
"T2#27","0","0","0","0","0","1","0","20251214","20261212"
"T2#28","0","0","0","0","0","1","0","20260112","20260228"
"T2#29","0","0","0","0","0","1","0","20251214","20261212"
"T2#3","0","0","0","0","0","1","0","20260202","20261212"
"T2#30","0","0","0","0","0","1","0","20260407","20261212"
"T2#31","0","0","0","0","0","1","0","20251214","20261212"
"T2#32","0","0","0","0","0","1","0","20251214","20260531"
"T2#33","0","0","0","0","0","1","0","20260601","20261212"
"T2#34","0","0","1","0","0","1","0","20251222","20260106"
"T2#35","0","0","0","0","0","1","0","20260101","20261212"
"T2#36","0","0","1","0","0","1","0","20251214","20260201"
"T2#37","0","0","0","0","0","1","0","20260327","20260406"
"T2#38","0","0","0","0","0","1","0","20260427","20260503"
"T2#39","0","0","0","0","0","1","0","20251214","20261212"
"T2#4","0","0","0","0","0","1","0","20251214","20251220"
"T2#40","0","0","1","0","0","0","0","20251224","20251224"
"T2#41","0","0","1","0","0","0","0","20251231","20251231"
"T2#42","0","0","0","0","0","1","0","20260328","20260406"
"T2#43","0","0","0","0","0","1","0","20260422","20260426"
"T2#44","0","0","0","0","0","1","0","20251214","20261212"
"T2#45","0","0","0","0","0","1","0","20260305","20260430"
"T2#46","0","0","1","0","0","1","0","20251214","20260106"
"T2#47","0","0","1","0","0","1","0","20251214","20260311"
"T2#48","0","0","0","0","0","1","0","20260312","20261212"
"T2#49","0","0","0","0","0","1","0","20251214","20261212"
"T2#5","0","0","1","0","0","1","0","20251221","20260201"
"T2#50","0","0","0","0","0","1","0","20251221","20261212"
"T2#51","0","0","1","0","0","1","0","20251221","20260118"
"T2#52","0","0","0","0","0","1","0","20260119","20261212"
"T2#53","0","0","0","0","0","1","0","20251221","20261212"
"T2#54","0","0","0","0","0","1","0","20260130","20260201"
"T2#55","0","0","0","0","0","1","0","20260202","20260528"
"T2#56","0","0","1","0","0","1","0","20251222","20260201"
"T2#57","0","0","0","0","0","1","0","20260202","20261212"
"T2#58","0","0","0","0","0","1","0","20260316","20260410"
"T2#59","0","0","0","0","0","1","0","20260417","20260419"
"T2#6","0","0","0","0","0","1","0","20260202","20261212"
"T2#60","0","0","1","0","0","1","0","20251214","20260201"
"T2#61","0","0","0","0","0","1","0","20260202","20261212"
"T2#62","0","0","0","0","0","1","0","20260303","20260626"
"T2#63","0","0","0","0","0","1","0","20251214","20261212"
"T2#64","0","0","1","0","0","1","0","20251219","20260315"
"T2#65","0","0","0","0","0","1","0","20260316","20260330"
"T2#66","0","0","0","0","0","1","0","20260331","20261212"
"T2#67","0","0","1","0","0","1","0","20251214","20260201"
"T2#68","0","0","0","0","0","1","0","20260202","20261212"
"T2#69","0","0","0","0","0","1","0","20251222","20261212"
"T2#7","0","0","0","0","0","1","0","20260327","20260407"
"T2#70","0","0","1","0","0","1","0","20251225","20260106"
"T2#71","0","0","0","0","0","1","0","20260202","20261212"
"T2#72","0","0","1","0","0","1","0","20251215","20260315"
"T2#73","0","0","0","0","0","1","0","20260411","20261212"
"T2#74","0","0","1","0","0","1","0","20251221","20260201"
"T2#75","0","0","0","0","0","1","0","20260202","20261212"
"T2#76","0","0","0","0","0","1","0","20260303","20260626"
"T2#77","0","0","0","0","0","1","0","20251222","20261212"
"T2#8","0","0","0","0","0","1","0","20251221","20261212"
"T2#9","0","0","0","0","0","1","0","20251214","20261212"
"T2+33","0","0","1","0","0","0","0","20251215","20261212"
"T2+33#1","0","0","1","0","0","0","0","20251214","20261212"
"T2+33#2","0","0","1","0","0","0","0","20251214","20260106"
"T2+9m200","0","0","0","0","0","1","0","20260327","20260406"
"T2+am200","0","0","0","0","0","1","0","20260327","20260406"
"T2+HAS","0","0","1","0","0","0","0","20251222","20260106"
"T2+HAS#1","0","0","1","0","0","0","0","20251215","20260315"
"T3","0","0","0","0","0","0","1","20251214","20261212"
"T3#1","0","0","0","0","0","0","1","20251214","20251214"
"T3#10","0","0","0","0","0","0","1","20251214","20261212"
"T3#11","0","1","0","1","1","0","1","20251214","20260106"
"T3#12","0","0","0","0","0","0","1","20260107","20260201"
"T3#13","0","0","0","0","0","0","1","20260517","20260914"
"T3#14","0","0","0","0","0","0","1","20251214","20251221"
"T3#15","0","0","0","0","0","0","1","20251222","20261212"
"T3#16","0","0","0","0","0","0","1","20251214","20261212"
"T3#17","1","0","0","0","1","0","1","20260217","20260511"
"T3#18","0","0","0","0","0","0","1","20260107","20261212"
"T3#19","0","0","0","0","0","0","1","20251214","20261212"
"T3#2","0","0","0","0","0","0","1","20251215","20261212"
"T3#20","1","0","0","0","0","0","1","20260126","20260531"
"T3#21","0","0","0","0","0","0","1","20251214","20261212"
"T3#22","1","0","0","1","1","0","1","20260228","20260531"
"T3#23","0","0","0","1","0","0","1","20260601","20260702"
"T3#24","0","0","0","0","0","0","1","20261101","20261101"
"T3#25","0","0","0","0","0","0","1","20260202","20260315"
"T3#26","0","0","0","0","0","0","1","20260316","20261212"
"T3#27","0","0","0","0","0","0","1","20251214","20261212"
"T3#28","0","0","0","0","0","0","1","20260112","20260228"
"T3#29","0","0","0","0","0","0","1","20251214","20261212"
"T3#3","0","1","0","1","1","0","1","20251214","20260201"
"T3#30","0","0","0","0","0","0","1","20260407","20261212"
"T3#31","0","0","0","0","0","0","1","20251214","20261212"
"T3#32","0","0","0","0","0","0","1","20251214","20260531"
"T3#33","0","0","0","0","0","0","1","20260601","20261212"
"T3#34","0","1","0","1","1","0","1","20251222","20260106"
"T3#35","0","0","0","0","0","0","1","20260101","20261212"
"T3#36","0","1","0","1","1","0","1","20251214","20260201"
"T3#37","1","0","0","0","0","0","1","20260327","20260406"
"T3#38","0","0","0","0","1","0","1","20260427","20260503"
"T3#39","0","0","0","0","0","0","1","20251214","20261212"
