route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"11-SEV-1-j26-1","03","SEV BB","Vösendorf Siebenhirten U6 - Wiener Neudorf Schienenersatzverkehr 27.03. - 06.04.2026","3","",""
"11-SEV-1-j26-2","03","SEV BB","Vösendorf Siebenhirten U6 - Wiener Neudorf Schienenersatzverkehr 27.04. - 03.05.2026","3","",""
"11-WLB-j26-1","03","BB","Wien Oper - Aßmayergasse - Inzersdorf Lokalbahn - Wiener Neudorf - Baden Landesklinikum - Baden Josefsplatz","0","0A295D","FFFFFF"
"11-WLB-j26-2","03","BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Baden Landesklinikum - Baden Josefsplatz","0","0A295D","FFFFFF"
"11-WLB-j26-3","03","BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Baden Landesklinikum - Baden Josefsplatz","0","0A295D","FFFFFF"
"11-WLB-j26-4","03","BB","Oper/Karlsplatz - Aßmayergasse - Inzersdorf Lokalbahn - Landesklinikum - Vösendorf-Siebenhirten - Bahnhof - Josefsplatz","0","0A295D","FFFFFF"
"11-WLB-j26-5","03","BB","Wien Oper - Aßmayergasse - Inzersdorf Lokalbahn - Wiener Neudorf - Baden Landesklinikum - Baden Josefsplatz","0","0A295D","FFFFFF"
"11-WLB-j26-6","03","BB","Wien Oper - Aßmayergasse - Inzersdorf Lokalbahn - Wiener Neudorf - Baden Landesklinikum - Baden Josefsplatz","0","0A295D","FFFFFF"
"11-WLB-j26-7","03","BB","Oper/Karlsplatz - Aßmayergasse - Inzersdorf Lokalbahn - Vösendorf-Siebenhirten - Wiener Neudorf - Baden Landesklinikum - Baden Josefsplatz Baustelllenfahrplan vom 27.04. - 03.05.2026 SEV zwischen Vösendorf Siebenhirten und Wiener Neudorf","0","0A295D","FFFFFF"
"21-U1-j26-1","04","U1","Oberlaa - Leopoldau","1","E3000F","FFFFFF"
"21-U1-j26-2","04","U1","Oberlaa - Leopoldau","1","E3000F","FFFFFF"
"21-U1-j26-24","04","U1","Oberlaa - Leopoldau","1","E3000F","FFFFFF"
"21-U1-j26-3","04","U1","Oberlaa - Leopoldau VCM","1","E3000F","FFFFFF"
"21-U1-j26-31","04","U1","Oberlaa - Leopoldau","1","E3000F","FFFFFF"
"21-U2-j26-1","04","U2","Seestadt - Schottentor","1","A862A4","FFFFFF"
"21-U2-j26-2","04","U2","Seestadt - Schottentor","1","A862A4","FFFFFF"
"21-U2-j26-24","04","U2","Seestadt - Schottentor","1","A862A4","FFFFFF"
"21-U2-j26-3","04","U2","Seestadt - Karlsplatz","1","A862A4","FFFFFF"
"21-U2-j26-31","04","U2","Seestadt - Schottentor","1","A862A4","FFFFFF"
"21-U2-j26-4","04","U2","Seestadt - Schottentor VCM","1","A862A4","FFFFFF"
"21-U3-j26-1","04","U3","Ottakring - Simmering","1","EF7C00","FFFFFF"
"21-U3-j26-2","04","U3","Ottakring - Simmering","1","EF7C00","FFFFFF"
"21-U3-j26-24","04","U3","Ottakring - Simmering","1","EF7C00","FFFFFF"
"21-U3-j26-3","04","U3","Ottakring - Simmering VCM","1","EF7C00","FFFFFF"
"21-U3-j26-31","04","U3","Ottakring - Simmering","1","EF7C00","FFFFFF"
"21-U4-j26-1","04","U4","Hütteldorf - Heiligenstadt","1","319F49","FFFFFF"
"21-U4-j26-2","04","U4","Hütteldorf - Heiligenstadt","1","319F49","FFFFFF"
"21-U4-j26-24","04","U4","Hütteldorf - Heiligenstadt","1","319F49","FFFFFF"
"21-U4-j26-3","04","U4","Hütteldorf - Heiligenstadt VCM","1","319F49","FFFFFF"
"21-U4-j26-31","04","U4","Hütteldorf - Heiligenstadt","1","319F49","FFFFFF"
"21-U6-j26-1","04","U6","Siebenhirten - Floridsdorf Baustellenfahrplan","1","9D6830","FFFFFF"
"21-U6-j26-2","04","U6","Siebenhirten - Floridsdorf","1","9D6830","FFFFFF"
"21-U6-j26-24","04","U6","Siebenhirten - Floridsdorf","1","9D6830","FFFFFF"
"21-U6-j26-3","04","U6","Siebenhirten - Floridsdorf","1","9D6830","FFFFFF"
"21-U6-j26-31","04","U6","Siebenhirten - Floridsdorf","1","9D6830","FFFFFF"
"21-U6-j26-4","04","U6","Siebenhirten - Floridsdorf","1","9D6830","FFFFFF"
