stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:43:3121:0:1","Baden Josefsplatz","48.00598751","16.23376093","3045"
"at:43:3134:0:1","Baden Viadukt","48.00383581","16.24096542","3045"
"at:43:3134:0:2","Baden Viadukt","48.00373363","16.24091152","3045"
"at:43:3142:0:3","Leesdorf","47.99963433","16.25134994","3045"
"at:43:3142:0:4","Leesdorf","47.99955619","16.25163740","3045"
"at:43:3499:0:1","Gerasdorf Bahnhof","48.29297157","16.48321410","0120"
"at:43:3499:0:4","Gerasdorf Bahnhof","48.29306720","16.48313325","0120"
"at:43:3507:0:1","Gerasdorf Mittelschule","48.29441791","16.47133837","0100"
"at:43:3507:0:2","Gerasdorf Mittelschule","48.29435815","16.47132939","0100"
"at:43:3509:0:1","Gerasdorf Josef-Böck-Gasse","48.29358119","16.47856083","0100"
"at:43:3509:0:2","Gerasdorf Josef-Böck-Gasse","48.29347959","16.47856083","0100"
"at:43:3510:0:1","Gerasdorf Postamt","48.29469283","16.46837393","0100"
"at:43:3510:0:2","Gerasdorf Postamt","48.29460318","16.46835597","0100"
"at:43:3556:0:2","Groß-Enzersdorf Busbahnhof","48.19981176","16.54940197","0103"
"at:43:3558:0:1","Groß-Enzersdorf Stadtmauer","48.20491892","16.54939299","0103"
"at:43:3558:0:2","Groß-Enzersdorf Stadtmauer","48.20539787","16.54905163","0103"
"at:43:3615:0:3","Guntramsdorf Lokalbahn","48.04896659","16.31239945","3377"
"at:43:3615:0:4","Guntramsdorf Lokalbahn","48.04893657","16.31251623","3377"
"at:43:3895:0:5","Kledering Bahnhof","48.13270691","16.43928648","0106"
"at:43:3897:0:1","Kledering Kirche","48.13204141","16.43617831","0106"
"at:43:3897:0:2","Kledering Kirche","48.13216732","16.43555847","0106"
"at:43:4092:0:2","Kledering Bahnhofplatz","48.13204141","16.43825342","0106"
"at:43:4163:0:1","Maria Enzersdorf Südstadt BSFZ","48.09859361","16.31033332","3377"
"at:43:4163:0:2","Maria Enzersdorf Südstadt BSFZ","48.09900157","16.31062078","3377"
"at:43:4164:0:1","Maria Enzersdorf Südstadt","48.09626579","16.31468117","3377"
"at:43:4164:0:2","Maria Enzersdorf Südstadt","48.09625979","16.31474405","3377"
"at:43:4302:0:1","Eigenheimsiedlung","48.03996402","16.30421580","3377"
"at:43:4302:0:2","Eigenheimsiedlung","48.03950754","16.30416190","3377"
"at:43:4304:0:3","Möllersdorf Lokalbahn","48.02796815","16.30016439","3045"
"at:43:4304:0:4","Möllersdorf Lokalbahn","48.02795614","16.30023626","3045"
"at:43:4331:0:3","Neu Guntramsdorf","48.06389334","16.31369302","3377"
"at:43:4331:0:4","Neu Guntramsdorf","48.06389334","16.31375590","3377"
"at:43:4536:0:1","Pfaffstätten-Rennplatz","48.00839754","16.26132124","3045"
"at:43:4536:0:2","Pfaffstätten-Rennplatz","48.00830740","16.26141107","3045"
"at:43:4710:0:3","Schwechat Bahnhof","48.14251449","16.48268409","0114"
"at:43:4718:0:1","Schwechat Brauerei","48.14522982","16.46914648","0114"
"at:43:4718:0:2","Schwechat Brauerei","48.14545759","16.46915547","0114"
"at:43:4735:0:1","Schwechat B10/Rathausplatz","48.14112979","16.47605453","0114"
"at:43:4808:0:1","Schwechat Möhringgasse","48.14064424","16.47968372","0114"
"at:43:4808:0:2","Schwechat Möhringgasse","48.14080609","16.47986338","0114"
"at:43:5001:0:3","Traiskirchen Lokalbahn","48.01541065","16.29066022","3045"
"at:43:5001:0:4","Traiskirchen Lokalbahn","48.01538661","16.29075903","3045"
"at:43:5022:0:1","Tribuswinkel-Josefsthal","48.00783862","16.27015168","3045"
"at:43:5022:0:2","Tribuswinkel-Josefsthal","48.00773044","16.27012473","3045"
"at:43:5132:0:1","Vösendorf Shopping City Süd","48.11158668","16.31548965","3379"
"at:43:5132:0:2","Vösendorf Shopping City Süd","48.11158069","16.31556152","3379"
"at:43:5132:0:4","Vösendorf Shopping City Süd","48.11153870","16.31454642","3379"
"at:43:5132:0:5","Vösendorf Shopping City Süd","48.11166466","16.31516626","3379"
"at:43:5133:0:1","Vösendorf-Siebenhirten","48.12593763","16.31759171","0115"
"at:43:5133:0:2","Vösendorf-Siebenhirten","48.12573376","16.31799595","0115"
"at:43:5133:0:3","Vösendorf-Siebenhirten","48.12582370","16.31946021","0115"
"at:43:5133:0:4","Vösendorf-Siebenhirten","48.12606355","16.31790612","0115"
"at:43:5133:0:9","Vösendorf-Siebenhirten","48.12584769","16.31937038","0115"
"at:43:5200:0:1","Griesfeld","48.07762742","16.31266894","3377"
"at:43:5200:0:6","Griesfeld","48.07763942","16.31254318","3377"
"at:43:5201:0:2","Wiener Neudorf","48.08737350","16.31390862","3377"
"at:43:5201:0:5","Wiener Neudorf","48.08709747","16.31394455","3377"
"at:43:5201:0:6","Wiener Neudorf","48.08709747","16.31411523","3377"
"at:43:5201:0:7","Wiener Neudorf","48.08744551","16.31413320","3377"
"at:43:5671:0:2","Schwechat B10/Hauptplatz","48.14095595","16.47768946","0114"
"at:43:5809:0:1","Baden Melkergründe","48.00364348","16.25833883","3045"
"at:43:5809:0:2","Baden Melkergründe","48.00361943","16.25843765","3045"
"at:43:5921:0:2","Schwechat Plankenwehrstraße","48.14190906","16.47480587","0114"
"at:43:5960:0:1","Schwechat Wiener Straße","48.14326377","16.47301822","0114"
"at:43:5960:0:3","Schwechat Wiener Straße","48.14330573","16.47235347","0114"
"at:43:6055:0:1","Baden Landesklinikum","47.99950209","16.25588643","3045"
"at:43:6055:0:2","Baden Landesklinikum","47.99955619","16.25583254","3045"
"at:49:1:0:6","Schrankenberggasse","48.17381306","16.38919642","0100"
"at:49:1:0:7","Schrankenberggasse","48.17402273","16.38892693","0100"
"at:49:10:0:1","Neustift, Agnesgasse","48.25021438","16.30804262","0100"
"at:49:10:0:2","Neustift, Agnesgasse","48.25047160","16.30665023","0100"
"at:49:10:0:3","Neustift, Agnesgasse","48.25089031","16.30748566","0100"
"at:49:100:0:1","Broßmannplatz","48.25184138","16.39849399","0100"
"at:49:100:0:2","Broßmannplatz","48.25212251","16.39816161","0100"
"at:49:1000:0:1","Pensionistenwohnhaus Atzgersdorf","48.15050424","16.28968106","0100"
